,Source_Port,Destination_Port,NAT_Source_Port,NAT_Destination_Port,Action,Bytes,Bytes_Sent,Bytes_Received,Packets,Elapsed_Time_(sec),pkts_sent,pkts_received
40,50004,443,10108,443,allow,8745,2603,6142,19,15,11,8
41,60411,80,48309,80,allow,1589,941,648,11,121,6,5
42,60354,80,7611,80,allow,644,256,388,8,124,5,3
43,60399,80,36861,80,allow,1168,815,353,10,122,6,4
44,60348,80,15161,80,allow,10335,1617,8718,19,124,9,10
45,60420,80,1065,80,allow,14498,6454,8044,24,120,12,12
46,60423,443,61729,443,allow,6849,1103,5746,23,120,12,11
47,60360,443,62556,443,allow,5212,1101,4111,22,123,12,10
48,60363,443,28558,443,allow,5214,1101,4113,22,123,12,10
49,9523,443,27776,443,allow,7199,1410,5789,22,33,11,11
50,63842,45682,31353,45682,allow,4687209,3850148,837061,4974,107,3004,1970
51,60430,443,49199,443,allow,5696,1143,4553,23,119,12,11
52,59878,443,30562,443,allow,3864,2812,1052,17,112,8,9
53,53179,12502,28254,12502,allow,70,70,0,2,7,2,0
54,60414,80,46472,80,allow,5124,3499,1625,14,121,8,6
55,60400,80,41884,80,allow,1704,808,896,10,122,6,4
56,60407,443,49458,443,allow,8328,1611,6717,25,121,14,11
57,60398,80,57820,80,allow,378,192,186,7,122,4,3
58,60339,80,1887,80,allow,35136,7862,27274,53,124,26,27
59,38641,443,31615,443,allow,318,192,126,6,14,4,2
60,54996,53,2476,53,allow,168,86,82,2,31,1,1
61,48066,443,56844,443,allow,62,62,0,1,4,1,0
62,60811,40010,33835,40010,allow,316,136,180,6,5,3,3
63,52103,80,61932,80,allow,68083,5515,62568,90,38,40,50
64,52195,443,11275,443,allow,13948,1150,12798,29,15,14,15
65,50000,53,16568,53,allow,502,115,387,4,52,2,2
66,52193,443,50924,443,allow,13948,1150,12798,29,15,14,15
67,55234,53,5157,53,allow,177,94,83,2,29,1,1
68,50692,80,30484,80,allow,5727,3584,2143,15,31,8,7
69,60370,80,40899,80,allow,1243,769,474,9,123,6,3
70,65401,53,57745,53,allow,235,102,133,2,29,1,1
71,51737,53,3505,53,allow,231,78,153,2,30,1,1
72,50685,80,6959,80,allow,63891,26626,37265,86,34,39,47
73,52191,443,46265,443,allow,7882,810,7072,21,15,9,12
74,54557,80,41721,80,allow,2091,799,1292,10,15,6,4
75,48818,443,11974,443,allow,4167,1669,2498,23,15,12,11
76,64223,53,57211,53,allow,199,94,105,2,30,1,1
77,49245,53,34102,53,allow,376,126,250,2,29,1,1
78,65258,443,17337,443,allow,6043,1568,4475,11,120,4,7
79,64399,53,50659,53,allow,230,110,120,2,29,1,1
80,55234,53,22160,53,allow,177,94,83,2,30,1,1
81,64593,53,56394,53,allow,94,94,0,1,30,1,0
82,56911,53,36658,53,allow,177,94,83,2,31,1,1
83,53977,22266,9645,22266,allow,492,306,186,8,17,5,3
84,50148,80,57004,80,allow,9058,868,8190,18,46,10,8
85,53178,42671,48767,42671,allow,70,70,0,2,8,2,0
86,52181,443,64436,443,allow,7855,815,7040,21,15,9,12
87,65004,53,23515,53,allow,323,94,229,2,30,1,1
88,46265,443,19534,443,allow,173828,9311,164517,245,448,118,127
89,49158,443,27828,443,allow,14490,4227,10263,35,36,19,16
90,33067,53,47200,53,allow,168,78,90,2,30,1,1
91,56911,53,39355,53,allow,177,94,83,2,30,1,1
92,22767,53,22767,53,allow,226,106,120,2,30,1,1
93,52715,443,38027,443,allow,164840,5975,158865,179,122,61,118
94,33845,80,39303,80,allow,424,210,214,7,27,4,3
95,61442,443,19223,443,allow,3403,1891,1512,24,42,13,11
96,9446,443,50836,443,allow,8672,1863,6809,22,46,11,11
97,52194,443,38386,443,allow,12374,1090,11284,27,15,13,14
98,58306,443,59387,443,allow,864,436,428,13,29,7,6
99,42412,443,55628,443,allow,204,70,134,4,26,2,2
100,56710,53,52813,53,allow,177,94,83,2,30,1,1
101,61396,443,45721,443,allow,550484,8433,542051,541,246,99,442
102,61273,443,55960,443,allow,19675,8597,11078,137,480,68,69
103,50016,53,14072,53,allow,766,103,663,4,41,2,2
104,58307,443,36806,443,allow,934,506,428,14,29,8,6
105,55182,53,36739,53,allow,293,94,199,2,30,1,1
106,56911,53,31733,53,allow,177,94,83,2,30,1,1
107,41631,443,38429,443,allow,20180,2917,17263,35,124,14,21
108,38637,443,8499,443,allow,12339,2392,9947,36,287,15,21
109,45317,53,22055,53,allow,86,86,0,1,30,1,0
110,56704,53,2427,53,allow,318,94,224,2,30,1,1
111,49410,53,62890,53,allow,177,94,83,2,30,1,1
112,56504,53,45710,53,allow,102,102,0,1,30,1,0
113,50003,443,32664,443,allow,13812,3042,10770,29,16,15,14
114,40737,443,35009,443,allow,44004,3909,40095,80,135,38,42
115,38082,443,14308,443,allow,284,164,120,4,15,2,2
116,36036,443,36036,443,allow,261234,32183,229051,326,212,153,173
117,55476,53,58894,53,allow,232,110,122,2,30,1,1
118,49395,53,40831,53,allow,390,111,279,4,53,2,2
119,56172,53,35826,53,allow,253,87,166,4,30,2,2
120,56624,53,36589,53,allow,177,94,83,2,31,1,1
121,57470,20220,32069,20220,allow,870,330,540,12,2308,6,6
122,33856,443,15413,443,allow,8171028,105740,8065288,6637,149,745,5892
123,59983,443,26904,443,allow,296863,14073,282790,351,127,130,221
124,15503,63425,41497,63425,allow,481,150,331,2,1200,1,1
125,53987,16571,20059,16571,allow,70,70,0,1,5,1,0
126,53986,54070,39036,54070,allow,70,70,0,1,5,1,0
127,64094,1024,62040,1024,allow,70,70,0,1,5,1,0
128,64095,1976,59706,1976,allow,70,70,0,1,5,1,0
129,52126,443,21159,443,allow,1672,1149,523,13,37,8,5
130,52144,80,16896,80,allow,366,240,126,7,33,5,2
131,50816,443,50681,443,allow,134,60,74,3,6,2,1
132,50057,80,26007,80,allow,1570,754,816,10,16,6,4
133,52146,80,44068,80,allow,366,240,126,7,33,5,2
134,54139,53,64934,53,allow,168,78,90,2,31,1,1
135,49410,53,29049,53,allow,177,94,83,2,31,1,1
136,53994,16605,15809,16605,allow,70,70,0,2,8,2,0
137,35242,8635,35242,8635,allow,138,78,60,2,6,1,1
138,52148,80,27900,80,allow,366,240,126,7,33,5,2
139,49900,443,28761,443,allow,1820,1101,719,18,73,10,8
140,43931,53,36161,53,allow,168,78,90,2,31,1,1
141,51048,445,0,0,deny,70,70,0,1,0,1,0
142,51045,445,0,0,deny,70,70,0,1,0,1,0
143,13394,23,0,0,deny,60,60,0,1,0,1,0
144,61078,57470,0,0,deny,62,62,0,1,0,1,0
145,55725,445,0,0,deny,70,70,0,1,0,1,0
146,55723,445,0,0,deny,70,70,0,1,0,1,0
147,55724,445,0,0,deny,70,70,0,1,0,1,0
148,51125,445,0,0,deny,66,66,0,1,0,1,0
149,51123,445,0,0,deny,66,66,0,1,0,1,0
150,51122,445,0,0,deny,66,66,0,1,0,1,0
151,51121,445,0,0,deny,66,66,0,1,0,1,0
152,51126,445,0,0,deny,66,66,0,1,0,1,0
153,51124,445,0,0,deny,66,66,0,1,0,1,0
154,51120,445,0,0,deny,66,66,0,1,0,1,0
155,51119,445,0,0,deny,66,66,0,1,0,1,0
156,62776,62413,0,0,deny,146,146,0,1,0,1,0
157,51041,445,0,0,deny,70,70,0,1,0,1,0
158,46448,30170,0,0,deny,159,159,0,1,0,1,0
159,10688,25174,0,0,deny,146,146,0,1,0,1,0
160,34086,25174,0,0,deny,62,62,0,1,0,1,0
161,64605,25174,0,0,deny,62,62,0,1,0,1,0
162,51039,445,0,0,deny,70,70,0,1,0,1,0
163,56688,25174,0,0,deny,62,62,0,1,0,1,0
164,57015,42707,0,0,deny,62,62,0,1,0,1,0
165,41213,25174,0,0,deny,62,62,0,1,0,1,0
166,57131,8055,0,0,deny,145,145,0,1,0,1,0
167,45855,25174,0,0,deny,62,62,0,1,0,1,0
168,54483,25174,0,0,deny,66,66,0,1,0,1,0
169,45855,25174,0,0,deny,146,146,0,1,0,1,0
170,49990,62413,0,0,deny,66,66,0,1,0,1,0
171,1582,56205,0,0,deny,62,62,0,1,0,1,0
172,65003,57470,0,0,deny,78,78,0,1,0,1,0
173,55718,445,0,0,deny,70,70,0,1,0,1,0
174,55717,445,0,0,deny,70,70,0,1,0,1,0
175,55713,445,0,0,deny,70,70,0,1,0,1,0
176,55708,445,0,0,deny,70,70,0,1,0,1,0
177,63486,51505,0,0,deny,66,66,0,1,0,1,0
178,54100,37965,0,0,deny,62,62,0,1,0,1,0
179,51034,445,0,0,deny,70,70,0,1,0,1,0
180,51107,445,0,0,deny,66,66,0,1,0,1,0
181,51105,445,0,0,deny,66,66,0,1,0,1,0
182,51104,445,0,0,deny,66,66,0,1,0,1,0
183,1815,22114,0,0,deny,66,66,0,1,0,1,0
184,443,47582,0,0,deny,60,60,0,1,0,1,0
185,443,47582,0,0,deny,85,85,0,1,0,1,0
186,443,47582,0,0,deny,100,100,0,1,0,1,0
187,59126,57470,0,0,deny,66,66,0,1,0,1,0
188,27621,50584,0,0,deny,62,62,0,1,0,1,0
189,52266,50038,0,0,deny,66,66,0,1,0,1,0
190,56456,1433,0,0,deny,60,60,0,1,0,1,0
191,43537,2323,0,0,deny,60,60,0,1,0,1,0
192,40772,15503,0,0,deny,74,74,0,1,0,1,0
193,50594,25174,0,0,deny,66,66,0,1,0,1,0
194,4323,64147,0,0,deny,62,62,0,1,0,1,0
195,55703,445,0,0,deny,70,70,0,1,0,1,0
196,55701,445,0,0,deny,70,70,0,1,0,1,0
197,55696,445,0,0,deny,70,70,0,1,0,1,0
198,55698,445,0,0,deny,70,70,0,1,0,1,0
199,34349,25174,0,0,deny,146,146,0,1,0,1,0
200,39587,22114,0,0,deny,62,62,0,1,0,1,0
201,42542,25174,0,0,deny,62,62,0,1,0,1,0
202,49529,21247,0,0,deny,62,62,0,1,0,1,0
203,64579,37965,0,0,deny,66,66,0,1,0,1,0
204,51021,445,0,0,deny,70,70,0,1,0,1,0
205,53771,57470,0,0,deny,66,66,0,1,0,1,0
206,15701,37965,0,0,deny,146,146,0,1,0,1,0
207,4529,56205,0,0,deny,62,62,0,1,0,1,0
208,45060,37965,0,0,deny,62,62,0,1,0,1,0
209,32554,34729,0,0,deny,62,62,0,1,0,1,0
210,51018,445,0,0,deny,70,70,0,1,0,1,0
211,47913,25174,0,0,deny,146,146,0,1,0,1,0
212,55686,445,0,0,deny,70,70,0,1,0,1,0
213,55683,445,0,0,deny,70,70,0,1,0,1,0
214,55679,445,0,0,deny,70,70,0,1,0,1,0
215,2206,25174,0,0,deny,62,62,0,1,0,1,0
216,64808,62413,0,0,deny,62,62,0,1,0,1,0
217,17244,22114,0,0,deny,62,62,0,1,0,1,0
218,51095,445,0,0,deny,66,66,0,1,0,1,0
219,51014,445,0,0,deny,70,70,0,1,0,1,0
220,58925,25174,0,0,deny,66,66,0,1,0,1,0
221,32549,37807,0,0,deny,146,146,0,1,0,1,0
222,51012,445,0,0,deny,70,70,0,1,0,1,0
223,52838,37965,0,0,deny,66,66,0,1,0,1,0
224,34217,23,0,0,deny,60,60,0,1,0,1,0
225,52459,33890,0,0,deny,60,60,0,1,0,1,0
226,51010,445,0,0,deny,70,70,0,1,0,1,0
227,55678,445,0,0,deny,70,70,0,1,0,1,0
228,6666,3389,0,0,deny,60,60,0,1,0,1,0
230,55677,445,0,0,deny,70,70,0,1,0,1,0
231,25533,22114,0,0,deny,62,62,0,1,0,1,0
232,47132,1433,0,0,deny,60,60,0,1,0,1,0
233,56119,37965,0,0,deny,62,62,0,1,0,1,0
234,51080,445,0,0,deny,66,66,0,1,0,1,0
235,51076,445,0,0,deny,66,66,0,1,0,1,0
236,51003,445,0,0,deny,70,70,0,1,0,1,0
237,54502,34729,0,0,deny,66,66,0,1,0,1,0
238,53626,30317,0,0,deny,66,66,0,1,0,1,0
239,53712,25174,0,0,deny,66,66,0,1,0,1,0
240,51001,445,0,0,deny,70,70,0,1,0,1,0
241,33726,44847,0,0,deny,62,62,0,1,0,1,0
242,22568,37965,0,0,deny,66,66,0,1,0,1,0
243,443,49988,0,0,deny,82,82,0,1,0,1,0
244,55667,445,0,0,deny,70,70,0,1,0,1,0
245,55665,445,0,0,deny,70,70,0,1,0,1,0
246,55660,445,0,0,deny,70,70,0,1,0,1,0
247,55658,445,0,0,deny,70,70,0,1,0,1,0
248,53985,30188,0,0,deny,62,62,0,1,0,1,0
249,57613,42707,0,0,deny,62,62,0,1,0,1,0
250,6666,6001,0,0,deny,60,60,0,1,0,1,0
251,45941,23386,0,0,deny,60,60,0,1,0,1,0
252,51000,445,0,0,deny,70,70,0,1,0,1,0
253,51071,445,0,0,deny,66,66,0,1,0,1,0
254,50999,445,0,0,deny,70,70,0,1,0,1,0
255,50998,445,0,0,deny,70,70,0,1,0,1,0
256,55759,5900,0,0,deny,60,60,0,1,0,1,0
257,50995,445,0,0,deny,70,70,0,1,0,1,0
258,50992,445,0,0,deny,70,70,0,1,0,1,0
259,51067,445,0,0,deny,66,66,0,1,0,1,0
260,51066,445,0,0,deny,66,66,0,1,0,1,0
261,51065,445,0,0,deny,66,66,0,1,0,1,0
262,51062,445,0,0,deny,66,66,0,1,0,1,0
263,51057,445,0,0,deny,66,66,0,1,0,1,0
264,51063,445,0,0,deny,66,66,0,1,0,1,0
265,51059,445,0,0,deny,66,66,0,1,0,1,0
266,55651,445,0,0,deny,70,70,0,1,0,1,0
267,21268,62609,0,0,deny,146,146,0,1,0,1,0
269,55648,445,0,0,deny,70,70,0,1,0,1,0
270,55646,445,0,0,deny,70,70,0,1,0,1,0
271,55644,445,0,0,deny,70,70,0,1,0,1,0
272,50980,445,0,0,deny,70,70,0,1,0,1,0
273,50979,445,0,0,deny,70,70,0,1,0,1,0
274,23758,44847,0,0,deny,62,62,0,1,0,1,0
275,50975,445,0,0,deny,70,70,0,1,0,1,0
276,53324,44847,0,0,deny,66,66,0,1,0,1,0
277,50970,445,0,0,deny,70,70,0,1,0,1,0
278,50969,445,0,0,deny,70,70,0,1,0,1,0
279,53243,57470,0,0,deny,74,74,0,1,0,1,0
280,64776,25174,0,0,deny,66,66,0,1,0,1,0
281,50547,22197,0,0,deny,66,66,0,1,0,1,0
282,64298,50584,0,0,deny,66,66,0,1,0,1,0
283,30456,36237,0,0,deny,62,62,0,1,0,1,0
284,56816,443,16188,443,allow,7956,1967,5989,20,15,11,9
285,52011,80,26180,80,allow,23580,10536,13044,36,39,18,18
286,50198,3389,50198,3389,allow,3343,1454,1889,15,16,8,7
287,56624,53,45708,53,allow,170,87,83,2,30,1,1
288,56813,443,32005,443,allow,8021,2001,6020,20,16,11,9
289,52007,443,2667,443,allow,10217,8266,1951,33,39,20,13
290,64092,14447,29856,14447,allow,66,66,0,1,5,1,0
291,64270,443,64270,443,allow,4747,1840,2907,19,27,11,8
292,51163,443,48007,443,allow,9466,2602,6864,41,185,20,21
293,52469,443,22069,443,allow,29896,14149,15747,61,209,35,26
294,46898,53,46898,53,allow,194,87,107,2,30,1,1
295,53198,443,53198,443,allow,4591,1684,2907,19,28,11,8
296,5886,80,5886,80,allow,138678,5557,133121,152,16,58,94
297,56815,443,53722,443,allow,7903,1914,5989,20,15,11,9
298,52270,3708,62556,3708,allow,316,136,180,6,6,3,3
299,52264,43015,38341,43015,allow,70,70,0,2,7,2,0
300,62685,443,28394,443,allow,7023,2352,4671,18,75,10,8
301,49333,443,8337,443,allow,50226,4284,45942,76,75,31,45
302,62892,443,62892,443,allow,4377,1470,2907,19,30,11,8
303,50487,3389,50487,3389,allow,6312,2620,3692,25,24,12,13
304,39430,443,21846,443,allow,506,292,214,8,50,5,3
305,45232,80,45232,80,allow,2895,1484,1411,10,15,6,4
306,51164,443,28609,443,allow,5040,2743,2297,34,185,18,16
307,64099,55470,50878,55470,allow,66,66,0,1,5,1,0
308,52240,52893,2825,52893,allow,66,66,0,1,5,1,0
309,48550,443,45303,443,allow,778,358,420,12,43,6,6
310,47845,53,47845,53,allow,243,94,149,2,32,1,1
311,52263,16350,50284,16350,allow,70,70,0,2,8,2,0
312,53177,8595,28264,8595,allow,70,70,0,2,9,2,0
313,53984,57077,2292,57077,allow,70,70,0,1,5,1,0
314,56674,443,44964,443,allow,237,177,60,3,5,2,1
315,34440,53,34440,53,allow,235,90,145,2,32,1,1
316,44389,443,27883,443,allow,3067,1817,1250,18,16,8,10
317,52265,32078,35097,32078,allow,70,70,0,2,7,2,0
318,54996,53,39612,53,allow,168,86,82,2,35,1,1
319,35609,443,35165,443,allow,237,177,60,3,5,2,1
320,55727,43736,19578,43736,allow,70,70,0,1,5,1,0
321,56911,53,21649,53,allow,170,87,83,2,30,1,1
322,50193,3389,50193,3389,allow,3409,1454,1955,16,16,8,8
323,49935,53,10954,53,allow,75,75,0,1,30,1,0
324,52852,53,0,0,allow,82,82,0,1,30,1,0
325,59226,53,59226,53,allow,194,87,107,2,30,1,1
326,60286,443,29238,443,allow,7576,1897,5679,23,136,13,10
327,27313,53,27313,53,allow,194,87,107,2,31,1,1
328,55674,53,14625,53,allow,744,89,655,2,31,1,1
329,40814,53,40814,53,allow,213,87,126,2,31,1,1
330,53067,4040,59736,4040,allow,115,115,0,1,31,1,0
331,56730,53,30044,53,allow,170,87,83,2,31,1,1
332,46713,53,46713,53,allow,217,87,130,2,31,1,1
333,32806,53,32806,53,allow,194,87,107,2,31,1,1
334,56434,53,6758,53,allow,701,88,613,2,31,1,1
335,51221,64767,41578,64767,allow,330,330,0,6,1200,6,0
336,19502,53,19502,53,allow,198,89,109,2,31,1,1
337,53151,53,29237,53,allow,168,78,90,2,31,1,1
338,56086,443,31892,443,allow,6817,3598,3219,32,143,15,17
339,27839,53,27839,53,allow,213,87,126,2,31,1,1
340,22835,51221,0,0,deny,62,62,0,1,0,1,0
341,65305,51221,0,0,deny,66,66,0,1,0,1,0
342,23001,64147,0,0,deny,62,62,0,1,0,1,0
343,52128,37807,0,0,deny,62,62,0,1,0,1,0
344,23632,64147,0,0,deny,66,66,0,1,0,1,0
345,48706,23393,0,0,deny,60,60,0,1,0,1,0
346,64288,53,54415,53,allow,398,103,295,4,41,2,2
347,52041,80,18599,80,allow,2901,1407,1494,15,38,9,6
348,64087,80,46757,80,allow,314,192,122,6,15,4,2
349,56052,53,22562,53,allow,177,94,83,2,30,1,1
350,52150,80,40663,80,allow,546,300,246,10,32,6,4
352,55641,445,0,0,deny,70,70,0,1,0,1,0
353,55642,445,0,0,deny,70,70,0,1,0,1,0
354,55640,445,0,0,deny,70,70,0,1,0,1,0
355,51050,445,0,0,deny,66,66,0,1,0,1,0
356,35207,22114,0,0,deny,62,62,0,1,0,1,0
357,55635,445,0,0,deny,70,70,0,1,0,1,0
358,50957,445,0,0,deny,70,70,0,1,0,1,0
359,51432,25174,0,0,deny,146,146,0,1,0,1,0
360,51047,445,0,0,deny,66,66,0,1,0,1,0
361,51046,445,0,0,deny,66,66,0,1,0,1,0
362,51045,445,0,0,deny,66,66,0,1,0,1,0
363,17925,26467,0,0,deny,66,66,0,1,0,1,0
364,34993,15503,0,0,deny,62,62,0,1,0,1,0
365,8040,44847,0,0,deny,66,66,0,1,0,1,0
366,39588,25174,0,0,deny,66,66,0,1,0,1,0
367,51042,445,0,0,deny,66,66,0,1,0,1,0
368,2978,48817,0,0,deny,66,66,0,1,0,1,0
369,1536,48817,0,0,deny,62,62,0,1,0,1,0
370,43269,50584,0,0,deny,66,66,0,1,0,1,0
371,33453,64147,0,0,deny,62,62,0,1,0,1,0
372,51414,22,0,0,deny,60,60,0,1,0,1,0
373,34810,25174,0,0,deny,62,62,0,1,0,1,0
374,50951,445,0,0,deny,70,70,0,1,0,1,0
375,5685,35440,0,0,deny,62,62,0,1,0,1,0
376,55633,445,0,0,deny,70,70,0,1,0,1,0
377,51598,56079,0,0,deny,66,66,0,1,0,1,0
378,40239,22114,0,0,deny,146,146,0,1,0,1,0
379,443,18368,0,0,deny,60,60,0,1,0,1,0
380,55622,445,0,0,deny,70,70,0,1,0,1,0
381,52145,80,50375,80,allow,366,240,126,7,32,5,2
382,50039,7000,50039,7000,allow,3050,1659,1391,16,15,9,7
383,56717,80,40230,80,allow,3894448,104279,3790169,4041,97,1411,2630
384,52162,443,20113,443,allow,1461,924,537,13,31,7,6
385,52272,37105,49502,37105,allow,316,136,180,6,6,3,3
386,56504,53,24881,53,allow,198,102,96,2,32,1,1
387,64098,10096,50669,10096,allow,70,70,0,1,4,1,0
388,52241,51717,19106,51717,allow,70,70,0,1,4,1,0
389,52143,80,6472,80,allow,366,240,126,7,32,5,2
390,50050,443,8381,443,allow,7912,3269,4643,23,95,12,11
391,52164,443,54936,443,allow,4187,773,3414,16,30,9,7
392,52115,443,22081,443,allow,11551,3870,7681,29,37,16,13
393,52147,80,1117,80,allow,366,240,126,7,32,5,2
394,52157,80,19874,80,allow,366,240,126,7,32,5,2
395,55526,80,37218,80,allow,78,78,0,2,8,2,0
396,52151,80,38473,80,allow,546,300,246,10,32,6,4
397,49359,443,64650,443,allow,63494,7222,56272,107,81,49,58
398,60512,6881,33887,6881,allow,320,140,180,6,6,3,3
399,53982,24226,55007,24226,allow,70,70,0,1,4,1,0
400,53985,26515,42482,26515,allow,70,70,0,1,4,1,0
401,16965,3389,16965,3389,allow,4085,1916,2169,21,18,12,9
402,52000,80,35679,80,allow,3604,2064,1540,15,40,10,5
403,38717,443,31292,443,allow,958865,18695,940170,908,16,266,642
404,56624,53,34436,53,allow,177,94,83,2,30,1,1
405,49795,53,44891,53,allow,263,94,169,2,30,1,1
406,50057,53,37422,53,allow,177,94,83,2,30,1,1
407,55306,53,39881,53,allow,177,94,83,2,30,1,1
408,52159,80,23650,80,allow,502,310,192,9,31,6,3
409,52153,80,26645,80,allow,366,240,126,7,32,5,2
410,55725,14704,64431,14704,allow,70,70,0,1,5,1,0
411,50711,80,19117,80,allow,1658,1247,411,8,15,5,3
412,58304,443,13109,443,allow,13442,1200,12242,26,29,11,15
413,58305,443,38970,443,allow,11659,1027,10632,25,29,11,14
414,60291,53,5136,53,allow,78,78,0,1,30,1,0
415,56555,53,42493,53,allow,348,94,254,2,30,1,1
416,49436,53,61599,53,allow,718,94,624,2,30,1,1
417,64226,53,54672,53,allow,245,94,151,2,30,1,1
418,55379,443,27244,443,allow,13679,7277,6402,35,262,15,20
419,33825,443,41237,443,allow,9407,2233,7174,38,96,16,22
420,19763,53,19763,53,allow,216,82,134,2,32,1,1
421,56741,53,5499,53,allow,370,94,276,2,30,1,1
422,51041,80,59300,80,allow,1514,480,1034,11,15,6,5
423,56663,53,41717,53,allow,181,94,87,2,33,1,1
424,56440,53,62063,53,allow,212,102,110,2,30,1,1
425,49961,443,64983,443,allow,16890,7125,9765,33,98,19,14
426,52236,15313,26526,15313,allow,70,70,0,1,5,1,0
427,56052,53,19569,53,allow,177,94,83,2,30,1,1
428,53971,80,16324,80,allow,662,448,214,10,15,7,3
429,64196,53,65372,53,allow,262,94,168,2,30,1,1
430,38330,123,58815,123,allow,184,94,90,2,30,1,1
431,49935,53,45170,53,allow,168,86,82,2,30,1,1
432,55639,53,27613,53,allow,244,94,150,2,30,1,1
433,53470,53,29709,53,allow,168,78,90,2,30,1,1
434,51986,80,28001,80,allow,1420,888,532,11,49,7,4
435,40831,80,63406,80,allow,1614,1300,314,10,15,5,5
436,36138,443,58693,443,allow,50384,5218,45166,76,99,26,50
437,33151,53,41502,53,allow,168,78,90,2,30,1,1
438,50563,53,11644,53,allow,718,94,624,2,30,1,1
439,50480,443,25461,443,allow,57535,3735,53800,70,122,26,44
440,57138,443,59763,443,allow,70379,4205,66174,101,403,51,50
441,52152,80,10469,80,allow,366,240,126,7,32,5,2
442,55724,45682,6518,45682,allow,70,70,0,1,5,1,0
443,51999,80,34655,80,allow,20433,10970,9463,34,42,19,15
444,51934,443,39970,443,allow,9735,2891,6844,36,82,17,19
445,56521,53,35277,53,allow,305,86,219,2,30,1,1
446,50056,27018,7128,27018,allow,468,390,78,5,30,4,1
447,65078,53,19268,53,allow,177,94,83,2,30,1,1
448,55999,443,53262,443,allow,45632,2078,43554,58,120,22,36
449,43088,5228,50878,5228,allow,4708,1753,2955,27,4133,12,15
450,37647,443,55661,443,allow,697381,19797,677584,725,106,247,478
451,58424,443,8670,443,allow,81295,4140,77155,114,117,42,72
452,52142,80,50942,80,allow,246,120,126,5,32,3,2
453,52155,80,52769,80,allow,366,240,126,7,32,5,2
454,65524,443,51488,443,allow,282968,9210,273758,296,15,106,190
455,52163,443,4704,443,allow,4187,773,3414,16,30,9,7
456,52161,443,17095,443,allow,1461,924,537,13,31,7,6
457,53995,41985,42236,41985,allow,70,70,0,2,7,2,0
458,51221,51413,17316,51413,allow,460,150,310,2,1200,1,1
459,65525,443,9387,443,allow,92247,4799,87448,107,15,43,64
460,52080,80,40918,80,allow,27100,21684,5416,39,38,25,14
461,52158,80,31502,80,allow,502,310,192,9,31,6,3
462,10151,11888,57602,11888,allow,491,150,341,2,1200,1,1
463,52154,80,54882,80,allow,366,240,126,7,32,5,2
464,49899,443,6307,443,allow,1820,1101,719,18,72,10,8
465,53983,40500,9041,40500,allow,70,70,0,1,4,1,0
